rank	pert_id	drug	response_source	n_protective_genes	frac_protective_genes	moa	target	biology_read
15	BRD-K88544581	CI-976	observed_thp1	9	0.692	ACAT inhibitor	ACAT1; CES1	Biologically credible: cholesterol esterification and lipid handling are relevant to microglia, foam-cell-like states, and AD lipid genetics.
16	BRD-A19633847	perhexiline	observed_thp1	9	0.692	carnitine palmitoyltransferase inhibitor	CPT1A	Plausible through fatty-acid oxidation and immune metabolism, but cardiotoxicity/mitochondrial effects make it a mechanism lead rather than a clean candidate.
17	BRD-K56343971	vemurafenib	observed_thp1	9	0.692	RAF inhibitor	BRAF; RAF1	Moderately plausible through MAPK signaling in inflammatory activation; oncology kinase specificity and paradoxical pathway effects require caution.
18	BRD-K75532464	FTI-276	observed_thp1	9	0.692	not annotated	not annotated	Plausible as a farnesyltransferase/Ras-pathway tool despite missing annotation; protein prenylation can affect innate immune signaling.
19	BRD-K01779529	fluoropyruvate	observed_thp1	9	0.692	not annotated	not annotated	Plausible only as a metabolic-stress perturbation; likely too nonspecific for direct prioritization.
20	BRD-K88560311	rucaparib	observed_thp1	9	0.692	PARP inhibitor	PARP1; PARP2	Moderately plausible through DNA-damage, NAD metabolism, and inflammatory signaling, but oncology/PARP biology is indirect for microglial AD.
21	BRD-K68336408	tyrphostin-AG-1478	observed_thp1	9	0.692	EGFR inhibitor	EGFR; MAPK14	Interesting because EGFR/MAPK14 signaling can influence glial and myeloid activation; still a broad kinase-tool interpretation.
22	BRD-K08451418	BRD-K08451418	observed_thp1	9	0.692	not annotated	not annotated	Weak interpretability because compound name, MOA, and targets are absent.
23	BRD-K78867378	MW-A1-12	observed_thp1	9	0.692	not annotated	not annotated	Weak interpretability without MOA/target information; signature hit only.
24	BRD-K18849474	dalcetrapib	observed_thp1	9	0.692	cholesteryl ester transfer protein inhibitor	CETP	Some AD-relevant lipid biology, but CETP is mainly plasma/lipoprotein biology and is not an obvious THP1/microglia-intrinsic mechanism.
25	BRD-K90382497	GW-843682X	observed_thp1	9	0.692	PLK inhibitor	PLK1; PLK3	Less biologically attractive for microglia because PLK inhibition is mostly cell-cycle/stress biology; useful as a broad antiproliferative comparator.
26	BRD-K00615600	AG-14361	observed_thp1	9	0.692	PARP inhibitor	PARP1	Similar to rucaparib: plausible stress/inflammatory signaling connection, but indirect and likely context dependent.
27	BRD-A70155556	lovastatin	observed_thp1	9	0.692	HMGCR inhibitor	HDAC2; HMGCR; ITGAL; NR1I2	Biologically credible: cholesterol metabolism, isoprenoid signaling, and immune modulation are relevant to microglia and AD; launched status improves follow-up practicality.
28	BRD-K45399554	CAM-9-027-3	observed_thp1	9	0.692	not annotated	not annotated	Weak interpretability without target annotation.
29	BRD-K08478539	RLM-2-12	observed_thp1	9	0.692	not annotated	not annotated	Weak interpretability without target annotation.
30	BRD-A80213327	NSC-23766	observed_thp1	9	0.692	Ras GTPase inhibitor	not annotated	Plausible immune-cell signaling hit because Rac/Rho/Ras-family pathways regulate migration, phagocytosis, and inflammatory activation; target annotation should be refined.
